,Expression dapF_parent,Expression dapF_sup_1-1,Expression dapF_sup_3-1,Expression dgk_parent,Expression dgk_sup_1-1,Expression dgk_sup_2-1,Expression dgk_sup_3-1,Expression entC_parent,Expression entC_sup_1-1,Expression entC_sup_2-1,Expression entC_sup_3-1,Expression ppk,Expression ppk_sup_1-1,Expression ppk_sup_1-2,Expression zwf_parent,Expression zwf_sup_1-1,Expression zwf_sup_1-2
b0001,0.71356099,1.032789935,0.515125824,-0.279713147,-0.652866565,0.032789935,-0.259721672,0.993242634,-1,0.280900827,0.039892727,-0.122655759,-0.410522018,-0.203670448,-0.369694514,0.070126086,0.248218409
b0002,0.419148916,-0.169925001,0.075920701,-0.657576875,-1.315355441,-0.483232614,-0.952481796,-0.439521983,-3.286322129,-0.741386522,-0.951531883,0.146486088,-0.056143078,0.463231081,0.076961982,-0.097654715,-0.53479082
b0003,0.09656043,-1.00178441,-0.150220888,-0.105407041,-1.116964072,-0.120837081,-0.52044454,-0.714769848,-2.74819285,-0.501848107,-2.158229668,0.32332133,0.081300102,0.518401337,0.182354451,-0.244254124,-0.452981572
b0004,0.164511505,-1,-0.045280879,-0.004058217,-0.983880335,0.047828525,-0.470108882,-0.530806731,-2.708344916,-0.508205302,-1.242681344,0.299560282,0.034269902,0.542734265,0.164511505,-0.256564911,-0.458925143
b0005,-0.106915204,-0.106915204,-0.347923303,0.280107919,1,2.421463768,0.099535674,0,-1.678071905,0.857980995,-0.192645078,-0.152003093,0.263034406,0.201633861,0,0.893084796,1
b0006,-0.033947332,0.128324097,0.128324097,-0.178337241,-0.033947332,-0.618909833,0.246160587,0.106915204,0.206450877,-0.530514717,-1.197939378,0.246160587,0.246160587,-0.519374159,-0.06871275,-0.10433666,0.43171624
b0007,-0.38332864,-0.321928095,-0.906890596,-0.584962501,0.047305715,-0.514573173,0.047305715,-0.966833136,-1.178337241,-0.472068444,-0.381870635,-0.115477217,-0.115477217,0.206450877,-0.38332864,-0.263034406,-0.447458977
b0008,-0.346638052,-0.693510636,-0.457412451,-0.125530882,-0.123328294,-0.420435803,0.043781692,0.058685343,-0.460299927,0.154604889,-0.138371833,-0.163463609,-0.046398645,-0.289799342,0.107059524,-0.011156221,-0.674036392
b0009,1.066495412,1.178970141,1.053439259,0.10496956,0.647118977,0.359542387,0.079434467,-0.462971976,0.160464672,0.371968777,-0.180572246,0,0.422691072,0.278301162,0.10496956,0.442004547,-0.142957954
b0010,1.078002512,1.784271309,1.415037499,-0.362570079,0.289506617,0.289506617,0.152003093,-0.514573173,-0.736965594,0.263034406,0.378511623,0,0.321928095,0.169925001,0.415037499,0.530514717,0.415037499
b0011,1,1,1,0,0.584962501,0.584962501,0.584962501,0.584962501,0,0.584962501,1.321928095,-0.415037499,-0.415037499,0,0.584962501,1,1
b0013,0.584962501,1.321928095,0,-1,0,0.584962501,-1,0,0,0.584962501,0.584962501,0,-1,0,-1,0.584962501,1.321928095
b0014,0.945816108,0.847234282,1.088975682,0.001714433,-0.764677275,-0.721608553,-0.365022809,0.590124206,-0.250062109,-1.160647188,-2.040907944,0.418170389,0.269987166,-0.240627993,-0.005155557,-0.234162559,-1.273018494
b0015,0.082936341,0.242976753,0.493938327,0.228477184,0.066726114,0.457101559,-0.078951341,0.731004036,0.498119241,-0.512450001,-1.314510623,-0.083831591,0.349584438,0.011587974,0.130502024,0.327041018,-0.313416595
b0016,-0.234465254,-0.074000581,0,0,-0.234465254,0.137503524,-0.234465254,0.160464672,0.160464672,-0.502500341,0.160464672,0.160464672,0.371968777,0,-0.152003093,0.070389328,0.070389328
b0018,0.584962501,1.080919995,0.509013647,-0.452512205,0.299560282,0.206450877,-0.452512205,-1.788495895,-1.925999419,0,0,-0.563900885,-0.280107919,0.08246216,0,0.387023123,0.157541277
b0019,0.567040593,0.736965594,0.530514717,-0.896906507,-0.584962501,-0.584962501,-0.054447784,-1.184424571,-0.705256734,0.578536232,0.111031312,-0.158697746,-0.299560282,0.169925001,0.602664502,0.222392421,-0.054447784
b0020,0.30256277,0.584962501,-0.016119665,-0.862496476,-0.684498174,-0.272684576,-0.032421478,-0.683526335,-1.027480736,0.169319971,0.49704591,-0.498178735,-0.816037165,0.028569152,0.173482821,0.208586622,0.115477217
b0021,1,1.584962501,1,1,1,1.584962501,0,0,0,1,0,0.415037499,0.415037499,0.415037499,0,0,1.584962501
b0022,0.144389909,0.211504105,0.395928676,0.424497829,0.941897045,1.127111918,0.144389909,0.31410859,0.282399731,0.112474729,0.038474148,-0.336049203,-0.117039421,-0.117039421,-0.203533394,0.275634443,0.211504105
b0023,0.327644576,0.032739655,0.949917201,-0.172836597,0.854149134,-0.108706259,-0.035333073,2.330195711,2.266140317,-0.148322747,-0.382247564,0.404076188,0.400674177,-0.025271298,0.371887414,0.758462956,0.333338496
b0024,0.807354922,1.217230716,0.459431619,-0.367731785,-0.036525876,0.263034406,0.169925001,-0.9510904,-1.214124805,-0.157541277,1.481869008,-0.896906507,-0.94753258,0.199308808,-0.036525876,-0.036525876,-0.415037499
b0025,0.225292312,0.259643817,0.464962725,0.293196376,0.591719867,0.578173335,0.154033629,0.094636874,0.024247546,0.139724764,0.30718151,-0.102361718,0.185214872,0.236440196,0,0.389411692,0.040077439
b0026,0.102615066,0.194378045,-0.013939191,-0.161280907,-0.04699748,0.257629601,-0.27977767,-0.384797886,-0.293264337,-0.299189171,-0.174153125,0.036836768,0.281570357,0.136372442,0.106915204,0.238159737,0.018378529
b0027,0.441837559,0.493988841,0.476813697,0.292781749,0.232660757,0.459431619,0.191141487,-0.125530882,-0.112474729,0.023846742,0.180572246,-0.242856524,-0.183962835,0.144873629,0.201633861,0.493988841,0
b0028,0.044590151,0.053968483,0.093917863,-0.086654382,0.246224012,0.676858367,-0.273422894,-0.006633092,-0.157159527,0.108332622,0.071019463,-0.126377286,0.018496344,0.136092575,0.215908388,0.518772221,0.17351469
b0029,0.032789935,0.171766348,0.016488123,-0.03355256,0.016488123,0.4639471,-0.398549376,0.019628807,0,0.167727446,0.897638282,-0.215267987,-0.028854863,0.056034035,0.142019005,0.511252815,0.186413124
b0030,-1.137503524,-0.289506617,-0.289506617,0.628031223,1.295455884,2,0.710493383,1,1,0.736965594,1.115477217,-0.371968777,0.2410081,-0.067114196,-0.459431619,0.710493383,0.932885804
b0031,-0.75161237,-0.781359714,-0.624855228,0.334117504,1.203533394,0.98240594,0.852846306,0.883485991,0.175442006,0.119298928,0.08453351,-1.441099796,0.180138091,-0.967168608,0.622362473,0.715826827,1.408464845
b0032,-2.64385619,-2.836501268,-1.736965594,0.163498732,-0.514573173,-1.321928095,-0.029146346,3.906890596,2,0,0.192645078,-0.356934545,0.185214872,-0.941897045,0.422233001,-0.556393349,0.464668267
b0033,-3.415037499,-3.678071905,-2.299560282,0.727920455,0.022367813,-1.04580369,-0.385290156,3.604862058,1.938599455,-0.263034406,0,0.086156644,0.562594688,0.187085553,-0.540568381,-0.022720077,0.442943496
b0034,-0.584962501,0,-0.584962501,0,0.415037499,1.222392421,0,-1,-2,0.584962501,0.807354922,0,0.584962501,0.807354922,0.415037499,0.736965594,1.222392421
b0035,1,1.584962501,1,0,1.584962501,1.584962501,1,-1,-1,0.584962501,0.584962501,-1,0,0,0,1,1.584962501
b0036,-1,0,-1,-1,0,0.584962501,-1,-1.584962501,-1.584962501,0.415037499,1,-1.584962501,0,0.415037499,0,0.584962501,0
b0037,0.321928095,-0.415037499,-0.415037499,-0.415037499,-0.415037499,0.321928095,-0.415037499,-0.415037499,-1,0,-0.415037499,0,0,0.415037499,0,-0.415037499,-0.415037499
b0038,-0.229481846,-0.229481846,-0.695145418,-0.387023123,0.08246216,0.338801913,-0.087462841,-0.700439718,-1.115477217,0.140862536,-0.478047297,-0.280107919,-0.280107919,0.371968777,-0.332575339,0.121990524,-0.180572246
b0039,0.494764692,0.710493383,0.540568381,0,0.932885804,1.321928095,0.540568381,0.247927513,0.087462841,0.807354922,1,-0.447458977,-0.099535674,0.415037499,0.125530882,0.898120386,0.398549376
b0040,1,1.584962501,0,0,1.584962501,1,1,0,0,1,1,-1,-1,-1,0,1,1
b0041,0,9.869208251,0,0,0,0,0,0,0,0,9.869208251,0,0,0,0,9.869208251,0
b0042,-0.584962501,0,-0.584962501,-0.584962501,-0.584962501,0,-0.584962501,-0.584962501,-0.584962501,0,1,-0.584962501,-0.584962501,0,-0.584962501,0,0
b0043,0,0,0,9.869208251,0,0,0,0,0,0,9.869208251,0,0,0,0,0,0
b0044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b0045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b0046,0.192645078,0.099535674,-0.106915204,-1,-0.485426827,-0.807354922,0,-0.289506617,-0.371968777,-0.137503524,-0.067114196,-0.247927513,-0.247927513,0,0.192645078,0.362570079,0.440572591
b0047,0,-0.078002512,-0.341036918,-0.788495895,-0.925999419,-1.247927513,-0.247927513,-0.362570079,-0.231325546,-0.169925001,-0.111031312,-0.08246216,-0.263034406,0.078002512,0.144389909,0.074000581,-0.247927513
b0048,1.283306801,1.160822794,0.962077517,-1.055495113,-1.158064846,-1.388070452,-0.773724144,-1.572989859,-1.447458977,-0.399095955,-0.633872101,0.059706246,-0.195550809,0.190102883,0.220446777,-0.672638019,-1.142957954
b0049,0.038474148,0.038474148,-0.121990524,0.130396637,-0.509013647,-0.165059246,0.375509135,-0.263034406,0.289506617,-0.537656786,0.093109404,0,-0.176877762,0,0.094327383,-0.428093652,0.038474148
b0050,-0.068917941,-0.277406523,-0.499232627,-0.485426827,-0.935564904,-0.521197958,-0.196455632,-0.782873401,-0.695606564,-0.531267998,-1.368669107,0.08279241,-0.213173891,0.088395116,-0.029747343,-0.521197958,-0.186848304
b0051,-0.124545098,-0.222392421,0.328421857,0.476099025,-0.160464672,0.053242021,0.412323115,0.236606281,0.985644707,0.295984828,-1.103622631,0.326810316,0.246639968,0.128584206,0.239338313,-0.354842717,-0.089498151
b0052,-0.198513676,-0.468734622,0.055531947,0.200190189,0.177928578,0.30345946,0.363870977,0.609079291,0.647147332,-0.199047332,-0.884703832,0.223853378,0.155069396,0.094068324,0.171009164,-0.031578717,-0.033575527
b0053,-0.21480925,-0.413137966,-0.383080733,-0.121906669,-0.265317152,-0.195091015,-0.324782092,-0.245112498,-0.329239627,-0.332575339,0.138949352,0.187331278,-0.018300817,0.021061616,-0.01720929,0.031026896,-0.055215613
b0054,-0.238387399,-0.32748762,-0.361302333,-0.243633569,-0.294447358,-0.333068652,-0.341480892,-0.53447273,-0.483846657,-0.036019223,-0.336826971,0.157895313,0.09679486,-0.044313901,-0.144623563,-0.251538767,-0.154471349
b0055,-0.056583528,-0.115477217,0.157541277,0.157541277,0.343954401,0.054447784,0.054447784,0,0,0.061400545,0.283792966,0.299560282,0.299560282,0.206450877,0.106915204,0.206450877,-0.056583528
b0058,1.152003093,1.91753784,1.078002512,-0.584962501,-0.362570079,-0.169925001,0,-0.736965594,-0.321928095,0,1.201633861,-0.378511623,-0.378511623,0,0.530514717,0.415037499,0.152003093
b0059,0.862496476,1.555518723,0.813586876,-0.520832163,-0.186413124,-0.874469118,-0.40053793,-0.561878888,-0.199308808,0.569365646,0.773724144,-0.096215315,-0.047305715,0.133266531,0.656045599,0.165059246,-0.237039197
b0060,0.106915204,0.206450877,0.157541277,-0.378511623,-0.793549123,-0.793549123,-0.452512205,-0.494764692,-0.310340121,0,-0.310340121,0.192645078,-0.144389909,0,0.206450877,-0.612976877,-0.176877762
b0061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b0062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b0063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b0064,0.074000581,-0.038474148,-0.203533394,-0.293731203,-0.493040011,-0.293731203,-0.389946518,-1.308122295,-1.612976877,-0.571156701,-0.056583528,-0.043068722,0,0.371968777,-0.078002512,0.366782331,0.366782331
b0065,0.378511623,0.378511623,0.137503524,-0.152003093,-0.152003093,0,0.263034406,-0.540568381,-0.678071905,-0.830074999,-0.299560282,-0.415037499,-0.192645078,0.169925001,-0.321928095,-0.321928095,0
b0066,-2,-2,-0.415037499,0.807354922,-0.415037499,-0.415037499,0.321928095,1.321928095,2.459431619,-1,-1,0.222392421,-0.263034406,0,0.321928095,-0.415037499,0.584962501
b0067,-1.807354922,-1.807354922,-1.222392421,0.192645078,-0.485426827,-0.485426827,0,1.874469118,2,-0.584962501,-0.584962501,0.415037499,0.152003093,-0.584962501,0.362570079,-0.807354922,0.192645078
b0068,-1,-1.144389909,-0.347923303,0.362570079,-0.106915204,0.033947332,0,1.517848305,1.494764692,0.125530882,-0.067114196,0.489384841,0.408084739,-0.342887714,0.192645078,-0.222392421,0.362570079
b0069,-0.207804885,-0.335184192,-0.602664502,-0.03562391,-0.148098639,0.06871275,0.181606806,-0.623436649,-0.788495895,-0.341036918,-0.189033824,-0.182864057,-0.017277991,0.017073513,-0.380272081,-0.03562391,0.06871275
b0070,0.321928095,0.584962501,0.584962501,0,0.807354922,0.584962501,0,-0.415037499,-0.415037499,0.584962501,1.321928095,-0.485426827,-0.222392421,-0.222392421,0,1,0.584962501
b0071,-0.682809824,-1.73959585,-1.734340125,-0.059550804,-0.18478296,0.687892876,0.433835095,-0.598992061,-2.512358752,-0.134868747,-0.391445089,-0.096349233,-0.344925586,0.475406138,-0.633056789,0.113656782,-0.275385509
b0072,-0.755726522,-1.663089281,-1.730765778,-0.088395116,-0.393576136,0.71623945,0.375353798,-0.600175595,-2.086622355,0.175519018,-0.704544116,0.062190057,-0.201912616,0.320589581,-0.474138308,0.109097034,0.075528209
b0073,-0.64416608,-1.451521002,-1.535259884,-0.025004006,-0.16250753,0.656217202,0.474763844,-0.064983945,-1.496735318,0.511392563,-0.158596996,0.057773287,-0.37101556,0.312762464,-0.316978879,-0.061788592,0.422454971
b0074,-0.63437295,-1.208108195,-1.516505977,-0.19945719,-0.38513687,0.518174161,0.1112724,-0.078622588,-2.244345154,0.503531473,-0.007191516,0.32674052,-0.077811237,0.151055906,-0.592997022,-0.262333509,0.410021169
