,Expression WT,Expression dapF_parent,Expression dapF_sup_1-1,Expression dapF_sup_3-1,Expression WT 2,Expression dgk_parent,Expression dgk_sup_1-1,Expression dgk_sup_2-1,Expression dgk_sup_3-1,Expression WT 3,Expression entC_parent,Expression entC_sup_1-1,Expression entC_sup_2-1,Expression entC_sup_3-1,Expression WT 4,Expression ppk,Expression ppk_sup_1-1,Expression ppk_sup_1-2,Expression WT 5,Expression zwf_parent,Expression zwf_sup_1-1,Expression zwf_sup_1-2
b0001,0.016799455,0.346012501,0.524356091,0.368565868,0.016799455,-0.059010138,-0.302604885,0.101205209,-0.100274771,-0.343098291,0.621559264,-0.540808506,-0.057371423,-0.277854525,0.292699927,0.265025865,0.104163817,0.123879521,0.016799455,-0.222802058,-0.000497909,0.169270149
b0002,0.075950882,0.200810131,-0.248608494,0.123259517,0.075950882,-0.260397277,-0.698690931,-0.196179336,-0.518493373,0.314024502,0.286060733,-1.454961792,-0.107218272,-0.305502055,-0.541877147,-0.383966018,-0.485212478,-0.250163937,0.075950882,0.145583296,-0.057148364,-0.312573755
b0003,0.057671807,-0.040431686,-0.841671896,-0.051355459,0.057671807,0.102549687,-0.581650604,0.035677746,-0.239428273,0.362143551,0.143704572,-1.042534213,0.105945163,-1.090932791,-0.535158972,-0.254677682,-0.383418014,-0.204650272,0.057671807,0.200305609,-0.176970859,-0.274968223
b0004,0.03761671,-0.013255083,-0.853814832,0.001329791,0.03761671,0.152102998,-0.506468494,0.131871924,-0.223312317,0.30761717,0.216794422,-1.059086996,0.048084168,-0.509525457,-0.420467301,-0.157986469,-0.30197848,-0.07513723,0.03761671,0.167343068,-0.20426809,-0.297287396
b0005,-0.078308192,-0.307359058,-0.348123363,-0.31397139,-0.078308192,0.223549485,0.725998893,1.629717049,0.048829103,-0.105244526,0.161803073,-0.736369808,0.560907984,-0.197185021,0.340169101,0.293383458,0.612285775,0.449540856,-0.078308192,-0.062412649,0.458395316,0.576353686
b0006,0.035310649,-0.146663127,-0.079716866,0.116457044,0.035310649,0.029916562,0.141314947,-0.317469973,0.261951834,-0.214194374,0.123951725,0.40406602,-0.477366125,-0.957091197,0.108262427,0.329966506,0.367645527,-0.265067129,0.035310649,0.005245796,-0.098056562,0.306976185
b0007,-0.024299537,-0.411790472,-0.412066543,-0.587640286,-0.024299537,-0.284637328,0.128765983,-0.291359071,0.063829536,0.15919107,-0.201789926,-0.136586545,-0.058724931,-0.050520595,-0.086292459,-0.106987472,-0.071778026,0.019487774,-0.024299537,-0.250410422,-0.249563711,-0.322272146
b0008,-0.041110125,-0.446011003,-0.72870173,-0.362838932,-0.041110125,-0.010124095,0.0062985,-0.270494004,0.052017928,-0.050907699,0.266035499,0.125121405,0.147216405,-0.109108834,0.174238075,0.118326498,0.237956504,-0.054087657,-0.041110125,0.049512911,-0.114660236,-0.527043658
b0009,0.047873586,0.612879739,0.647566444,0.762304165,0.047873586,0.235109085,0.620312609,0.353323073,0.163547488,-0.147629926,-0.190800922,0.447509515,0.194032368,-0.232885594,0.004009168,0.060151882,0.386027449,0.165940563,0.047873586,0.135408161,0.283952597,-0.068159364
b0010,0.017588279,0.551642933,0.975674423,0.924929798,0.017588279,-0.100689323,0.320675715,0.255203868,0.169288117,-0.032498585,-0.103314902,-0.046290818,0.213977955,0.238187118,-0.020266252,0.030914144,0.268279089,0.06027563,0.017588279,0.293594188,0.291392433,0.260502969
